location,date,total_cases,new_cases,total_deaths,people_vaccinated,population
Argentina,2021-06-26,4368482.0,0.0,101166.0,16402386.0,45510324
Argentina,2021-06-27,4501629.0,133147.0,103698.0,16557598.0,45510324
Argentina,2021-06-28,4501629.0,0.0,103698.0,16878686.0,45510324
Argentina,2021-06-29,4501629.0,0.0,103698.0,17205319.0,45510324
Argentina,2021-06-30,4501629.0,0.0,103698.0,17544891.0,45510324
Argentina,2021-07-01,4501629.0,0.0,103698.0,17860341.0,45510324
Argentina,2021-07-02,4501629.0,0.0,103698.0,18191622.0,45510324
Argentina,2021-07-03,4501629.0,0.0,103698.0,18443812.0,45510324
Argentina,2021-07-04,4627073.0,125444.0,105867.0,18618497.0,45510324
Argentina,2021-07-05,4627073.0,0.0,105867.0,18854901.0,45510324
Argentina,2021-07-06,4627073.0,0.0,105867.0,19128410.0,45510324
Argentina,2021-07-07,4627073.0,0.0,105867.0,19420118.0,45510324
Argentina,2021-07-08,4627073.0,0.0,105867.0,19790269.0,45510324
Argentina,2021-07-09,4627073.0,0.0,105867.0,20043447.0,45510324
Argentina,2021-07-10,4627073.0,0.0,105867.0,20344376.0,45510324
Argentina,2021-07-11,4735954.0,108881.0,107756.0,20501900.0,45510324
Argentina,2021-07-12,4735954.0,0.0,107756.0,20860143.0,45510324
Argentina,2021-07-13,4735954.0,0.0,107756.0,21225661.0,45510324
Argentina,2021-07-14,4735954.0,0.0,107756.0,21589913.0,45510324
Argentina,2021-07-15,4735954.0,0.0,107756.0,21934196.0,45510324
Argentina,2021-07-16,4735954.0,0.0,107756.0,22290267.0,45510324
Argentina,2021-07-17,4735954.0,0.0,107756.0,22519681.0,45510324
Argentina,2021-07-18,4841064.0,105110.0,109538.0,22650637.0,45510324
Argentina,2021-07-19,4841064.0,0.0,109538.0,22983983.0,45510324
Argentina,2021-07-20,4841064.0,0.0,109538.0,23224353.0,45510324
Argentina,2021-07-21,4841064.0,0.0,109538.0,23547110.0,45510324
Argentina,2021-07-22,4841064.0,0.0,109538.0,23869087.0,45510324
Argentina,2021-07-23,4841064.0,0.0,109538.0,24188132.0,45510324
Argentina,2021-07-24,4841064.0,0.0,109538.0,24374640.0,45510324
Argentina,2021-07-25,4929412.0,88348.0,110905.0,24500288.0,45510324
Argentina,2021-07-26,4929412.0,0.0,110905.0,24744734.0,45510324
Argentina,2021-07-27,4929412.0,0.0,110905.0,24947377.0,45510324
Argentina,2021-07-28,4929412.0,0.0,110905.0,25201901.0,45510324
Argentina,2021-07-29,4929412.0,0.0,110905.0,25434586.0,45510324
Argentina,2021-07-30,4929412.0,0.0,110905.0,25653202.0,45510324
Argentina,2021-07-31,4929412.0,0.0,110905.0,25775863.0,45510324
Argentina,2021-08-01,5016637.0,87225.0,112110.0,25849716.0,45510324
Argentina,2021-08-02,5016637.0,0.0,112110.0,26026740.0,45510324
Argentina,2021-08-03,5016637.0,0.0,112110.0,26235311.0,45510324
Argentina,2021-08-04,5016637.0,0.0,112110.0,26414208.0,45510324
Argentina,2021-08-05,5016637.0,0.0,112110.0,26567748.0,45510324
Argentina,2021-08-06,5016637.0,0.0,112110.0,26698920.0,45510324
Argentina,2021-08-07,5016637.0,0.0,112110.0,26771503.0,45510324
Argentina,2021-08-08,5097074.0,80437.0,113267.0,26805103.0,45510324
Argentina,2021-08-09,5097074.0,0.0,113267.0,26916289.0,45510324
Argentina,2021-08-10,5097074.0,0.0,113267.0,27018963.0,45510324
Argentina,2021-08-11,5097074.0,0.0,113267.0,27110718.0,45510324
Argentina,2021-08-12,5097074.0,0.0,113267.0,27189831.0,45510324
Argentina,2021-08-13,5097074.0,0.0,113267.0,27260685.0,45510324
Argentina,2021-08-14,5097074.0,0.0,113267.0,27297984.0,45510324
Argentina,2021-08-15,5159380.0,62306.0,114160.0,27327955.0,45510324
Argentina,2021-08-16,5159380.0,0.0,114160.0,27376647.0,45510324
Argentina,2021-08-17,5159380.0,0.0,114160.0,27495623.0,45510324
Argentina,2021-08-18,5159380.0,0.0,114160.0,27603519.0,45510324
Argentina,2021-08-19,5159380.0,0.0,114160.0,27720089.0,45510324
Argentina,2021-08-20,5159380.0,0.0,114160.0,27839944.0,45510324
Argentina,2021-08-21,5159380.0,0.0,114160.0,27894299.0,45510324
Argentina,2021-08-22,5206634.0,47254.0,114844.0,27917728.0,45510324
Argentina,2021-08-23,5206634.0,0.0,114844.0,28040301.0,45510324
Argentina,2021-08-24,5206634.0,0.0,114844.0,28132306.0,45510324
Argentina,2021-08-25,5206634.0,0.0,114844.0,28207364.0,45510324
Argentina,2021-08-26,5206634.0,0.0,114844.0,28280225.0,45510324
Argentina,2021-08-27,5206634.0,0.0,114844.0,28357882.0,45510324
Argentina,2021-08-28,5206634.0,0.0,114844.0,28400451.0,45510324
Argentina,2021-08-29,5244899.0,38265.0,115381.0,28422434.0,45510324
Argentina,2021-08-30,5244899.0,0.0,115381.0,28514811.0,45510324
Argentina,2021-08-31,5244899.0,0.0,115381.0,28611692.0,45510324
Argentina,2021-09-01,5244899.0,0.0,115381.0,28694311.0,45510324
Argentina,2021-09-02,5244899.0,0.0,115381.0,28773379.0,45510324
Argentina,2021-09-03,5244899.0,0.0,115381.0,28838657.0,45510324
Argentina,2021-09-04,5244899.0,0.0,115381.0,28878192.0,45510324
Argentina,2021-09-05,5273430.0,28531.0,115799.0,28894977.0,45510324
Argentina,2021-09-06,5273430.0,0.0,115799.0,28946714.0,45510324
Argentina,2021-09-07,5273430.0,0.0,115799.0,29001259.0,45510324
